,Cities,Lat,Lon,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,new norfolk,-42.78,147.06,52.2,64,67,4
1,tuktoyaktuk,69.45,-133.04,37.4,71,90,8.05
2,punta arenas,-53.15,-70.92,41,75,20,10.29
3,hanting,36.77,119.21,77.45,67,59,2.35
4,rikitea,-23.12,-134.97,72.28,80,21,12.08
5,upernavik,72.79,-56.15,33.66,83,34,13.27
7,san patricio,19.22,-104.7,84.2,74,75,9.17
8,naryan-mar,67.67,53.09,53.31,91,86,10.42
9,carnarvon,-24.87,113.63,64.4,93,90,5.82
10,zemio,5.03,25.14,68.58,96,100,2.89
11,luziania,-16.25,-47.95,71.35,33,41,8.05
12,marsh harbour,26.54,-77.06,83.8,73,81,12.59
13,bathsheba,13.22,-59.52,82.4,78,40,10.29
14,axim,4.87,-2.24,75.25,86,100,9.98
15,hermanus,-34.42,19.23,50,96,79,1.01
16,guerrero negro,27.98,-114.06,87.85,44,0,13.24
17,aberystwyth,52.42,-4.08,52.65,93,98,10.47
19,torbay,47.67,-52.73,65.82,93,90,17.22
20,paamiut,61.99,-49.67,46.98,90,75,22.7
21,bluff,-46.6,168.33,45,72,89,11.01
22,chicama,-7.84,-79.15,60.98,81,23,6.2
23,talcahuano,-36.72,-73.12,53.6,76,75,5.82
24,cartagena,10.4,-75.51,86,84,20,8.05
25,east london,-33.02,27.91,63.88,71,100,10.36
26,cape town,-33.93,18.42,55.38,76,66,16.11
27,ushuaia,-54.8,-68.3,41,84,20,13.87
28,tiksi,71.69,128.87,42.73,89,100,11.86
31,lefka,35.11,32.85,72.18,73,40,8.05
32,harper,4.38,-7.72,75.78,85,100,10.85
34,yellowknife,62.46,-114.35,51.03,50,40,6.93
35,kapaa,22.08,-159.32,82.94,66,20,14.99
36,cordoba,-31.41,-64.18,58.82,62,24,2.24
37,manakara,-22.13,48.02,63.88,87,48,6.44
38,zyryanka,65.75,150.85,58.42,47,75,9.57
39,san cristobal,7.77,-72.22,87.8,58,40,11.41
40,albany,42.65,-73.76,65.41,63,75,5.82
41,okhotsk,59.38,143.3,53.83,79,98,2.37
42,avarua,-21.21,-159.78,75.2,64,100,8.05
43,neyshabur,36.21,58.8,63.52,29,6,2.86
44,banikoara,11.3,2.44,70.02,97,98,3.36
45,manono,-7.3,27.42,72.7,30,0,4.05
46,hithadhoo,-0.6,73.08,80.01,74,100,28.19
47,hilo,19.73,-155.09,80.11,51,40,8.05
48,ponta do sol,32.67,-17.1,68.45,78,40,17.22
49,ruidoso,33.33,-105.67,79.5,23,1,12.75
50,castro,-24.79,-50.01,64.2,68,21,3.62
51,bredasdorp,-34.53,20.04,51.8,93,87,2.24
52,nieuw amsterdam,5.88,-55.08,82.2,78,40,5.82
53,khatanga,71.97,102.5,37.72,78,1,6.64
55,roma,41.89,12.48,69.96,60,0,3.36
56,kaeo,-35.1,173.78,60.01,3,100,7
57,tasiilaq,65.61,-37.64,39.2,93,100,0.2
59,port elizabeth,-33.92,25.57,57.2,93,100,8.05
61,dikson,73.51,80.55,41.34,90,93,17.56
62,kodinsk,58.69,99.18,44.67,89,65,3.27
63,batemans bay,-35.72,150.18,54.9,79,84,5.46
64,northam,51.03,-4.22,58.33,83,33,5.99
66,lebu,-37.62,-73.65,48.11,87,22,2.66
67,belyy yar,53.6,91.39,41,93,71,1.23
68,zakharovo,54.37,39.28,55,60,78,5.93
69,shalinskoye,55.72,93.76,39.49,85,2,4.29
70,pushkino,56.02,37.87,59,58,33,4.47
71,bethel,41.37,-73.41,66.49,56,1,3.36
72,dingle,11.0,122.67,82.18,79,88,3.31
73,macas,-2.32,-78.12,69.8,88,75,4.7
74,ostrovnoy,68.05,39.51,54.01,88,87,18.37
75,ngunguru,-35.62,174.5,60.01,3,97,7
76,cherskiy,68.75,161.3,50.68,47,0,13.78
77,salalah,17.02,54.09,78.8,88,75,4.7
79,vaini,-21.2,-175.2,73.4,69,75,11.41
80,saint george,37.1,-113.58,107.26,4,1,13.87
82,butaritari,3.07,172.79,83.7,74,14,12.17
83,jiazi,22.88,116.07,80.2,75,3,5.14
84,tupik,54.43,119.93,56.77,82,14,3.51
85,kigoma,-4.88,29.63,75.58,56,22,1.5
86,acajutla,13.59,-89.83,75,93,81,1.99
87,hobart,-42.88,147.33,53.67,54,75,5.82
88,qaanaaq,77.48,-69.36,24.31,80,0,6.15
89,miles city,46.41,-105.84,93.2,13,1,4.7
90,busselton,-33.65,115.33,61.61,85,100,26.15
91,jardim,-21.48,-56.14,82.08,29,95,2.75
92,luderitz,-26.65,15.16,58.1,70,0,25.55
93,forestville,38.85,-76.88,72.81,53,1,10.29
94,bamnet narong,15.5,101.69,77.86,87,99,6.08
95,hjelset,62.78,7.48,48.2,87,98,8.05
96,hofn,64.25,-15.21,46.78,69,17,3.76
97,cidreira,-30.18,-50.21,58.64,94,100,19.98
98,puerto ayora,-0.74,-90.35,66.99,92,81,3
99,george,-33.96,22.46,53.6,100,88,11.41
100,kysyl-syr,63.9,122.76,49.87,82,4,6.78
102,jamestown,42.1,-79.24,61.25,82,75,9.17
103,sarahan,31.52,77.8,59.77,70,87,0.85
104,chongwe,-15.33,28.68,53.94,68,0,6.31
106,provideniya,64.38,-173.3,45.28,65,98,5.06
107,ahipara,-35.17,173.17,59.07,67,100,13.04
108,palmas,-10.21,-48.36,84.2,39,15,5.82
109,pevek,69.7,170.31,41.83,67,0,13.44
110,wattegama,6.8,81.48,76.23,81,100,3.53
112,richards bay,-28.78,32.04,63.07,85,9,3.69
113,kirkwall,58.98,-2.96,48.2,87,65,10.29
114,lerwick,60.15,-1.15,48.2,87,64,19.46
115,college,64.86,-147.8,48.11,76,75,5.82
116,saint anthony,45.02,-93.22,75.02,38,1,5.82
117,durusu,41.31,28.68,66.52,72,0,4.7
118,isangel,-19.55,169.27,74.35,70,19,19.22
119,kruisfontein,-34.0,24.73,55.99,94,98,1.01
121,pilar,-9.6,-35.96,73.4,83,3,4.7
122,pedernales,18.04,-71.74,83.48,69,37,3.89
125,ghanzi,-21.57,21.78,63.5,37,43,9.86
126,murovani kurylivtsi,48.72,27.52,54,94,0,1.99
127,antofagasta,-23.65,-70.4,57.2,82,75,11.41
128,whitehorse,60.72,-135.05,52.21,50,20,2.24
129,langxiang,46.95,128.88,65.86,83,3,3.83
130,vanavara,60.34,102.28,47.66,89,100,9.08
131,santa vitoria do palmar,-33.52,-53.37,50.5,79,99,8.66
132,dubrovnik,42.65,18.09,64.4,68,0,4.7
133,tambacounda,13.75,-13.76,75.2,94,40,6.93
134,longyearbyen,78.22,15.64,42.8,93,90,3.36
135,saint-philippe,-21.36,55.77,58.48,88,90,3.36
136,talnakh,69.49,88.4,35.6,66,0,11.18
137,bambous virieux,-20.34,57.76,67.05,94,40,4.7
138,livingstone,-17.84,25.85,56.71,49,0,5.35
139,faanui,-16.48,-151.75,78.33,77,19,10.22
140,kahului,20.89,-156.47,84.42,41,1,29.97
141,narsaq,60.92,-46.05,44.6,93,100,4.7
142,grootfontein,-19.57,18.12,59.34,32,8,7.43
143,mahebourg,-20.41,57.7,68,94,40,4.7
144,yar-sale,66.83,70.83,36.93,84,0,8.12
145,kultayevo,57.89,55.94,41,100,0,4.47
147,georgetown,6.8,-58.16,82.4,83,40,4.7
149,owerri,5.48,7.03,72.91,95,100,2.71
150,ancud,-41.87,-73.82,46.99,87,55,3.6
151,bengkulu,-3.8,102.27,74.79,88,97,4.5
152,pokaran,26.92,71.92,85.48,64,96,7.56
154,kudahuvadhoo,2.67,72.89,79.57,76,100,33.02
155,comodoro rivadavia,-45.87,-67.5,51.8,53,52,6.93
156,verkhnyaya inta,65.98,60.31,48.94,90,67,6.42
157,port hardy,50.7,-127.42,60.8,87,75,9.17
158,swan hill,-35.34,143.55,59.34,58,0,11.23
160,san andres,12.58,-81.7,86,70,40,4.7
161,ilulissat,69.22,-51.1,39.2,75,100,3.36
163,digri,25.16,69.11,82,77,2,13.91
164,palmerston north,-40.35,175.62,62.15,69,98,5.99
165,cururupu,-1.83,-44.87,74.93,89,77,3.74
168,port alfred,-33.59,26.89,61.09,88,100,8.39
169,arraial do cabo,-22.97,-42.03,70.65,89,3,12.1
170,havre-saint-pierre,50.23,-63.6,50,87,1,11.41
171,atuona,-9.8,-139.03,78.91,72,37,23.15
172,riyadh,24.69,46.72,87.8,25,0,2.24
173,saskylakh,71.92,114.08,41.59,85,75,10.76
174,inirida,3.87,-67.92,75.88,94,97,1.03
175,konya,38.17,32.5,64.4,59,0,11.41
176,naze,28.37,129.48,80.6,94,75,47.2
177,kodiak,57.79,-152.41,53.6,76,75,14.99
178,shieli,44.17,66.75,54.9,40,0,11.18
179,jurm,36.86,70.83,54.32,41,0,0.63
180,liverpool,53.41,-2.98,55.94,82,72,5.82
182,port macquarie,-31.43,152.92,64.51,83,71,8.99
184,moussoro,13.64,16.49,79.97,64,86,14.38
185,beringovskiy,63.05,179.32,48.7,81,100,8.79
186,muros,42.78,-9.06,66,74,5,11.01
187,beloha,-25.17,45.05,61.38,77,0,12.44
188,padang,-0.95,100.35,77.18,71,96,4.16
189,la romana,18.43,-68.97,82.4,78,75,5.82
190,sovetskaya gavan,48.97,140.29,68.04,77,100,0.92
191,nanortalik,60.14,-45.24,47.64,94,100,9.66
192,frontera,18.58,-92.65,84.2,83,40,10.78
193,borogontsy,62.67,131.17,57.72,67,22,4.7
194,paramonga,-10.67,-77.83,60.37,85,31,7.16
195,barrow,71.29,-156.79,41,80,90,6.93
196,galveston,29.3,-94.8,87.89,62,1,9.17
197,sorland,67.67,12.69,52.84,86,100,14.05
198,samoded,63.61,40.51,55.15,97,100,7.2
199,berlevag,70.86,29.09,54.07,88,89,8.01
200,rudbar,30.15,62.6,69.57,28,0,8.03
201,katsuura,35.13,140.3,79.29,88,75,4.7
202,port lavaca,28.61,-96.63,88.16,70,1,14.99
203,byron bay,-28.65,153.62,64.26,88,90,8.05
204,ribeira grande,38.52,-28.7,70.09,74,31,22.03
205,coolum beach,-26.53,153.1,72.01,74,65,4
206,maniitsoq,65.42,-52.9,44.33,96,100,4.07
207,taiobeiras,-15.81,-42.23,63.28,72,42,6.35
208,senekal,-28.32,27.62,57.2,65,7,22.48
209,cockburn town,21.46,-71.14,82.4,78,40,11.41
210,nevel,56.02,29.93,56.55,96,73,6.71
211,aasiaat,68.71,-52.87,39.33,77,100,11.21
213,alta floresta,-9.88,-56.09,81.19,25,15,2.24
214,caraquet,47.79,-64.94,60.42,63,1,4.7
215,nikolayevsk-na-amure,53.14,140.73,70.14,72,92,1.39
216,los llanos de aridane,28.66,-17.92,67.6,68,0,4.7
217,daman,20.42,72.85,81.59,83,98,2.98
218,chuy,-33.7,-53.46,49.95,81,94,9.57
219,iqaluit,63.75,-68.51,51.8,53,20,10.29
220,bulaevo,54.91,70.44,39.88,91,69,7.92
221,cabo san lucas,22.89,-109.91,90.34,62,20,4.7
222,tarko-sale,64.92,77.78,46,86,99,18.01
223,chengde,40.97,117.94,66.38,66,74,2.35
224,saldanha,-33.01,17.94,51.8,87,25,3.36
225,barabai,-2.58,115.38,78.46,82,49,0.98
226,thompson,55.74,-97.86,60.8,48,75,3.36
227,caravelas,-17.71,-39.25,72.37,85,0,6.98
228,shache,38.42,77.24,68.41,25,97,6.38
229,quesnel,53.0,-122.5,73.4,49,90,3.36
230,puntarenas,9.98,-84.84,71.6,94,75,9.17
231,rio gallegos,-51.62,-69.22,42.8,70,20,3.36
232,canela,-29.37,-50.82,55,88,67,5.01
233,salinas,36.68,-121.66,82.22,39,1,12.75
234,kuryk,43.2,51.65,75,35,93,11.36
235,pailon,-17.65,-62.75,82.4,65,28,6.93
237,yenagoa,4.92,6.26,74.35,91,99,3.76
238,sernur,56.93,49.15,49.23,83,99,6.24
239,norman wells,65.28,-126.83,57.2,44,40,4.7
240,zharkent,44.16,80,64.08,38,43,3.58
241,luanda,-8.84,13.23,69.8,88,75,4.7
242,hami,42.8,93.45,70.23,29,0,12.41
243,kungurtug,50.6,97.52,40.93,79,62,0.89
244,yaqui,27.37,-110.17,104,23,20,11.41
245,weiden,49.68,12.16,58.01,100,90,1.72
246,sakaiminato,35.55,133.23,78.8,88,75,2.24
247,chokurdakh,70.63,147.92,47.53,53,100,10.51
249,sangmelima,2.93,11.98,65.93,98,98,3.38
251,mar del plata,-38.0,-57.56,45.16,75,20,8.05
253,bowen,-20.02,148.23,73.4,73,90,6.93
254,tapa,59.26,25.96,53.87,100,75,9.17
255,ucluelet,48.93,-125.55,64.15,77,90,6.93
256,payakumbuh,-0.22,100.63,68.83,83,99,2.82
257,cherdyn,60.4,56.48,44.76,96,53,2.95
258,karratha,-20.74,116.85,74.7,44,55,1.95
259,manacapuru,-3.3,-60.62,84.2,58,25,2.24
260,hadejia,12.45,10.04,77.99,75,35,10.74
261,lima,-12.04,-77.03,60.8,77,90,11.41
262,lanzhou,36.06,103.79,55.99,76,84,3.27
263,mehamn,71.04,27.85,54.27,88,88,4.92
264,tura,25.52,90.22,75.22,91,94,5.82
265,makakilo city,21.35,-158.09,87.96,40,1,11.41
266,barra patuca,15.8,-84.28,82.17,80,78,11.23
267,sisimiut,66.94,-53.67,41.58,86,100,11.45
268,klaksvik,62.23,-6.59,44.6,87,92,20.8
269,sosnovo-ozerskoye,52.52,111.54,53.17,85,100,1.34
270,zinder,13.81,8.99,84.88,53,1,9.86
271,tezu,27.92,96.17,75.07,84,100,2.42
272,polunochnoye,60.87,60.42,43.93,92,26,4.25
273,touros,-5.2,-35.46,75.2,73,75,8.05
274,boyabat,41.47,34.77,60.48,78,31,2.24
275,shelburne,44.08,-80.2,63.99,52,40,5.82
276,ikalamavony,-21.15,46.58,55.72,74,27,8.57
277,ostersund,63.18,14.64,48.2,93,98,8.05
278,socorro,31.65,-106.3,90.54,22,5,17.22
279,kargat,55.2,80.28,42.31,97,98,10.07
280,korla,41.76,86.15,71.01,52,0,1.99
282,araouane,18.9,-3.53,97.59,29,63,6.06
283,acarau,-2.89,-40.12,78.33,73,37,19.57
285,eyl,7.98,49.82,76.87,74,59,23.15
286,parrita,9.52,-84.32,70.66,88,75,8.05
287,lagoa,39.05,-27.98,68.43,75,52,21.65
288,barkhan,29.9,69.53,76.26,55,12,1.63
291,the valley,18.22,-63.06,83.07,74,20,10.29
292,plouzane,48.38,-4.62,52.34,100,40,3.36
293,adrar,27.87,-0.29,84.2,28,0,10.29
294,berdigestyakh,62.1,126.7,52.9,90,95,2.91
295,songea,-10.68,35.65,54.9,69,0,2.64
296,dinahican,14.72,121.72,84.54,69,80,2.62
297,doha,25.29,51.53,88.88,79,0,2.24
298,palana,59.12,159.97,51.4,59,18,2.3
299,mahibadhoo,3.78,72.97,78.6,78,100,38.52
300,south sioux city,42.47,-96.41,89.35,46,1,10.29
301,foumban,5.73,10.9,62.49,100,95,2.53
302,kholmogory,64.22,41.66,57.2,93,90,4.47
303,kualakapuas,-3.01,114.39,73.4,100,10,2.24
304,praia da vitoria,38.73,-27.07,68.45,82,40,19.35
305,thunder bay,48.4,-89.32,66.6,40,40,9.17
306,luena,-11.78,19.92,60.35,33,44,5.1
307,valdivia,-39.81,-73.25,46.4,87,3,1.12
308,banjar,-8.19,114.97,78.8,100,75,4.7
309,paita,-5.09,-81.11,61.79,84,52,16.37
310,bronnoysund,65.46,12.2,51.4,93,100,4.7
311,okakarara,-20.58,17.43,55.78,36,0,2.13
312,takoradi,4.88,-1.76,74.79,87,99,10.4
313,sao filipe,14.9,-24.5,79.65,84,78,8.25
315,margate,51.38,1.39,56.34,72,8,1.99
316,bhairab bazar,24.07,90.97,84.2,70,40,8.05
317,laguna,38.42,-121.42,101.26,21,1,3.36
318,lavrentiya,65.58,-171,43.77,75,96,3.53
319,ismailia,30.6,32.27,73.81,86,0,6.4
320,nantucket,41.28,-70.1,66.2,63,1,9.17
321,geraldton,-28.77,114.6,55.4,93,90,8.05
322,westport,41.14,-73.36,71.96,41,1,8.05
323,gushikawa,26.35,127.87,78.8,88,20,21.92
324,san quintin,30.48,-115.95,86.77,40,0,8.52
325,pangkalanbuun,-2.68,111.62,78.53,83,69,3.2
326,codrington,-38.27,141.97,54.25,74,26,11.36
327,sitka,57.05,-135.33,57.2,71,75,6.93
328,ayaviri,-14.89,-70.59,49.93,51,74,2.66
329,silopi,37.25,42.47,79.29,18,0,2.01
333,ranavav,21.68,69.74,80.24,84,100,6.31
334,namibe,-15.2,12.15,65.14,80,35,11.81
336,neuquen,-38.95,-68.06,51.8,43,82,10.29
337,thai nguyen,21.59,105.84,84.2,83,80,6.93
338,mapiripan,2.89,-72.13,76.84,84,90,2.66
339,chuka,-0.33,37.65,61.84,90,100,3.18
340,khandyga,62.67,135.6,56.98,82,91,0.4
341,coos bay,43.37,-124.22,72.86,60,1,19.46
342,taunggyi,20.78,97.03,63.55,100,100,2.3
343,san matias,-16.37,-58.4,86.14,21,20,5.19
344,menemen,38.61,27.07,72.39,53,0,10.29
345,shahdadkot,27.85,67.91,87.67,48,8,6.24
346,saint-joseph,-21.37,55.62,59.14,88,90,3.36
347,zuwarah,32.93,12.08,81.88,60,14,10.71
348,alofi,-19.06,-169.92,77,50,19,18.34
349,sola,-13.88,167.55,78.78,79,17,22.1
351,kavieng,-2.57,150.8,84.4,76,38,12.84
352,goundam,16.41,-3.67,82.74,55,96,1.19
353,sinnamary,5.38,-52.95,78.64,84,46,7.92
354,gobabis,-22.45,18.97,55.96,38,34,4.83
